Drug	Drug_Status	Sensitivity	Specificity	ACC	PPV	NPV	FPR	Classifier
Roscovitine_IC_50.1	Resistant	0.7	0.836538462	0.824561404	0.291666667	0.966666667	0.163461539	Deep Learning
Roscovitine_IC_50.1	Sensitive	0.263157895	0.966507177	0.907894737	0.416666667	0.935185185	0.033492823	Deep Learning
S.Trityl.L.cysteine_IC_50.1	Resistant	0.5	0.889423077	0.855263158	0.303030303	0.948717949	0.110576923	Deep Learning
S.Trityl.L.cysteine_IC_50.1	Sensitive	0.142857143	1	0.947368421	1	0.946902655	0	Deep Learning
Salubrinal_IC_50.1	Resistant	0.714285714	0.782608696	0.77631579	0.25	0.964285714	0.217391304	Deep Learning
Salubrinal_IC_50.1	Sensitive	0.631578947	0.918660287	0.894736842	0.413793103	0.964824121	0.081339713	Deep Learning
SB.216763_IC_50.1	Resistant	0.25	0.995192308	0.929824561	0.833333333	0.932432432	0.004807692	Deep Learning
SB.216763_IC_50.1	Sensitive	0.142857143	1	0.842105263	1	0.837837838	0	Deep Learning
SB590885_IC_50.1	Resistant	1	0.960352423	0.960526316	0.1	1	0.039647577	Deep Learning
SB590885_IC_50.1	Sensitive	0.419354839	0.92893401	0.859649123	0.481481482	0.910447761	0.07106599	Deep Learning
Shikonin_IC_50.1	Resistant	0.68	0.743842365	0.736842105	0.246376812	0.949685535	0.256157636	Deep Learning
Shikonin_IC_50.1	Sensitive	0.32	0.9408867	0.872807018	0.4	0.918269231	0.059113301	Deep Learning
SL.0101.1_IC_50.1	Resistant	0.318181818	0.941747573	0.881578947	0.368421053	0.928229665	0.058252427	Deep Learning
SL.0101.1_IC_50.1	Sensitive	0.125	1	0.877192983	1	0.875	0	Deep Learning
Sorafenib_IC_50.1	Resistant	0.9375	0.622641509	0.644736842	0.157894737	0.992481203	0.377358491	Deep Learning
Sorafenib_IC_50.1	Sensitive	0.6	0.910798122	0.890350877	0.321428571	0.97	0.089201878	Deep Learning
Sunitinib_IC_50.1	Resistant	0.214285714	0.975	0.881578947	0.545454546	0.898617512	0.025	Deep Learning
Sunitinib_IC_50.1	Sensitive	0.285714286	0.990654206	0.947368421	0.666666667	0.954954955	0.009345794	Deep Learning
Temsirolimus_IC_50.1	Resistant	0.204545455	0.97826087	0.828947368	0.692307692	0.837209302	0.02173913	Deep Learning
Temsirolimus_IC_50.1	Sensitive	0.766666667	0.732323232	0.736842105	0.302631579	0.953947368	0.267676768	Deep Learning
TGX221_IC_50.1	Resistant	0.35	0.9375	0.885964912	0.35	0.9375	0.0625	Deep Learning
TGX221_IC_50.1	Sensitive	0.4	0.985915493	0.947368421	0.666666667	0.95890411	0.014084507	Deep Learning
Thapsigargin_IC_50.1	Resistant	0.333333333	0.970588235	0.903508772	0.571428571	0.925233645	0.029411765	Deep Learning
Thapsigargin_IC_50.1	Sensitive	0.272727273	0.984615385	0.881578947	0.75	0.888888889	0.015384615	Deep Learning
Tipifarnib_IC_50.1	Resistant	0.125	0.994897959	0.872807018	0.8	0.874439462	0.005102041	Deep Learning
Tipifarnib_IC_50.1	Sensitive	0.210526316	0.994736842	0.864035088	0.888888889	0.863013699	0.005263158	Deep Learning
TW.37_IC_50.1	Resistant	0.413793103	0.899497487	0.837719298	0.375	0.913265306	0.100502513	Deep Learning
TW.37_IC_50.1	Sensitive	0.1875	1	0.942982456	1	0.942222222	0	Deep Learning
Vinblastine_IC_50.1	Resistant	0.37037037	0.980099503	0.907894737	0.714285714	0.920560748	0.019900498	Deep Learning
Vinblastine_IC_50.1	Sensitive	0.541666667	0.926470588	0.885964912	0.464285714	0.945	0.073529412	Deep Learning
Vinorelbine_IC_50.1	Resistant	0.178571429	0.975	0.877192983	0.5	0.894495413	0.025	Deep Learning
Vinorelbine_IC_50.1	Sensitive	0.096774194	1	0.877192983	1	0.875555556	0	Deep Learning
Vorinostat_IC_50.1	Resistant	0.16	1	0.907894737	1	0.90625	0	Deep Learning
Vorinostat_IC_50.1	Sensitive	0.444444444	0.970149254	0.907894737	0.666666667	0.928571429	0.029850746	Deep Learning
VX.680_IC_50.1	Resistant	0.380952381	0.942028986	0.890350877	0.4	0.9375	0.057971015	Deep Learning
VX.680_IC_50.1	Sensitive	0.695652174	0.868292683	0.850877193	0.372093023	0.962162162	0.131707317	Deep Learning
VX.702_IC_50.1	Resistant	0.157894737	0.995215311	0.925438597	0.75	0.928571429	0.004784689	Deep Learning
VX.702_IC_50.1	Sensitive	0.138888889	1	0.864035088	1	0.860986547	0	Deep Learning
WH.4.023_IC_50.1	Sensitive	0.692307692	0.948837209	0.934210526	0.45	0.980769231	0.051162791	Deep Learning
WZ.1.84_IC_50.1	Resistant	0.1875	0.985849057	0.929824561	0.5	0.941441441	0.014150943	Deep Learning
WZ.1.84_IC_50.1	Sensitive	0.409090909	0.961165049	0.907894737	0.529411765	0.938388626	0.038834952	Deep Learning
XMD8.85_IC_50.1	Resistant	0.35	0.961538462	0.907894737	0.466666667	0.938967136	0.038461539	Deep Learning
XMD8.85_IC_50.1	Sensitive	0.384615385	0.986046512	0.951754386	0.625	0.963636364	0.013953488	Deep Learning
Z.LLNle.CHO_IC_50.1	Resistant	0.529411765	0.957345972	0.925438597	0.5	0.961904762	0.042654028	Deep Learning
Z.LLNle.CHO_IC_50.1	Sensitive	0.08	0.995073892	0.894736842	0.666666667	0.897777778	0.004926108	Deep Learning
ZM.447439_IC_50.1	Resistant	0.676470588	0.819587629	0.798245614	0.396551724	0.935294118	0.180412371	Deep Learning
ZM.447439_IC_50.1	Sensitive	0.214285714	0.994623656	0.850877193	0.9	0.848623853	0.005376344	Deep Learning
17.AAG_IC_50.1	Resistant	0.525	0.882978723	0.820175439	0.488372093	0.897297297	0.117021277	Random Forests
17.AAG_IC_50.1	Sensitive	0.878787879	0.569230769	0.614035088	0.256637168	0.965217391	0.430769231	Random Forests
681640_IC_50.1	Resistant	0.714285714	0.666666667	0.675438596	0.326086957	0.911764706	0.333333333	Random Forests
681640_IC_50.1	Sensitive	0.682926829	0.684491979	0.684210526	0.32183908	0.907801418	0.315508021	Random Forests
A.443654_IC_50.1	Resistant	0.4375	0.891509434	0.859649123	0.233333333	0.954545455	0.108490566	Random Forests
A.443654_IC_50.1	Sensitive	0.727272727	0.741935484	0.74122807	0.125	0.981707317	0.258064516	Random Forests
A.770041_IC_50.1	Resistant	0.722222222	0.838095238	0.828947368	0.276595745	0.972375691	0.161904762	Random Forests
A.770041_IC_50.1	Sensitive	0.555555556	0.771428571	0.754385965	0.172413793	0.952941176	0.228571429	Random Forests
ABT.263_IC_50.1	Resistant	0.735294118	0.742268041	0.74122807	0.333333333	0.941176471	0.257731959	Random Forests
ABT.263_IC_50.1	Sensitive	0.72972973	0.890052356	0.864035088	0.5625	0.944444444	0.109947644	Random Forests
ABT.888_IC_50.1	Resistant	0.105263158	0.985645933	0.912280702	0.4	0.923766816	0.014354067	Random Forests
ABT.888_IC_50.1	Sensitive	0.181818182	0.98974359	0.872807018	0.75	0.877272727	0.01025641	Random Forests
AG.014699_IC_50.1	Resistant	0.138888889	0.984375	0.850877193	0.625	0.859090909	0.015625	Random Forests
AG.014699_IC_50.1	Sensitive	0.852941176	0.572164948	0.614035088	0.258928571	0.956896552	0.427835052	Random Forests
AICAR_IC_50.1	Resistant	0.3125	0.887755102	0.807017544	0.3125	0.887755102	0.112244898	Random Forests
AICAR_IC_50.1	Sensitive	0.833333333	0.757575758	0.76754386	0.342465753	0.967741935	0.242424242	Random Forests
AKT.inhibitor.VIII_IC_50.1	Resistant	0.484848485	0.835897436	0.785087719	0.333333333	0.905555556	0.164102564	Random Forests
AKT.inhibitor.VIII_IC_50.1	Sensitive	0.194444444	0.96875	0.846491228	0.538461538	0.865116279	0.03125	Random Forests
AMG.706_IC_50.1	Resistant	0.75	0.606481481	0.614035088	0.095744681	0.97761194	0.393518519	Random Forests
AMG.706_IC_50.1	Sensitive	0.166666667	0.965686275	0.881578947	0.363636364	0.907834101	0.034313725	Random Forests
AP.24534_IC_50.1	Resistant	0.857142857	0.468599034	0.504385965	0.140625	0.97	0.531400966	Random Forests
AP.24534_IC_50.1	Sensitive	0.523809524	0.90821256	0.872807018	0.366666667	0.949494949	0.09178744	Random Forests
AS601245_IC_50.1	Resistant	0.783783784	0.596858639	0.627192982	0.273584906	0.93442623	0.403141361	Random Forests
AS601245_IC_50.1	Sensitive	0.926829268	0.235294118	0.359649123	0.209944751	0.936170213	0.764705882	Random Forests
ATRA_IC_50.1	Resistant	0.9375	0.202830189	0.254385965	0.081521739	0.977272727	0.797169811	Random Forests
ATRA_IC_50.1	Sensitive	0.333333333	0.965174129	0.890350877	0.5625	0.91509434	0.034825871	Random Forests
AUY922_IC_50.1	Resistant	0.56	0.793103448	0.76754386	0.25	0.936046512	0.206896552	Random Forests
AUY922_IC_50.1	Sensitive	0.666666667	0.705882353	0.701754386	0.210526316	0.947368421	0.294117647	Random Forests
Axitinib_IC_50.1	Resistant	0.518518519	0.870646766	0.828947368	0.35	0.930851064	0.129353234	Random Forests
Axitinib_IC_50.1	Sensitive	0.125	1	0.877192982	1	0.875	0	Random Forests
AZ628_IC_50.1	Resistant	0.733333333	0.82629108	0.820175439	0.229166667	0.977777778	0.17370892	Random Forests
AZ628_IC_50.1	Sensitive	0.642857143	0.911214953	0.894736842	0.321428571	0.975	0.088785047	Random Forests
AZD.0530_IC_50.1	Resistant	0.9	0.706422018	0.714912281	0.123287671	0.993548387	0.293577982	Random Forests
AZD.0530_IC_50.1	Sensitive	0.045454545	1	0.907894737	1	0.907488987	0	Random Forests
AZD.2281_IC_50.1	Resistant	1	0.053140097	0.140350877	0.096774194	1	0.946859903	Random Forests
AZD.2281_IC_50.1	Sensitive	0.7	0.675531915	0.679824561	0.314606742	0.913669065	0.324468085	Random Forests
AZD6244_IC_50.1	Resistant	0.35483871	0.908629442	0.833333333	0.379310345	0.899497487	0.091370558	Random Forests
AZD6244_IC_50.1	Sensitive	0.515151515	0.892307692	0.837719298	0.447368421	0.915789474	0.107692308	Random Forests
AZD6482_IC_50.1	Resistant	0.794117647	0.634020619	0.657894737	0.275510204	0.946153846	0.365979381	Random Forests
AZD6482_IC_50.1	Sensitive	0.4	0.901554404	0.824561404	0.424242424	0.892307692	0.098445596	Random Forests
AZD7762_IC_50.1	Resistant	0.615384615	0.801980198	0.780701754	0.285714286	0.941860465	0.198019802	Random Forests
AZD7762_IC_50.1	Sensitive	0.448275862	0.929648241	0.868421053	0.481481481	0.92039801	0.070351759	Random Forests
AZD8055_IC_50.1	Resistant	0.363636364	0.941747573	0.885964912	0.4	0.932692308	0.058252427	Random Forests
AZD8055_IC_50.1	Sensitive	0.666666667	0.876923077	0.846491228	0.47826087	0.93956044	0.123076923	Random Forests
BAY.61.3606_IC_50.1	Resistant	0.846153846	0.603174603	0.644736842	0.305555556	0.95	0.396825397	Random Forests
BAY.61.3606_IC_50.1	Sensitive	0.470588235	0.912371134	0.846491228	0.484848485	0.907692308	0.087628866	Random Forests
Bexarotene_IC_50.1	Resistant	0.861111111	0.53125	0.583333333	0.256198347	0.953271028	0.46875	Random Forests
Bexarotene_IC_50.1	Sensitive	0.740740741	0.547263682	0.570175439	0.18018018	0.94017094	0.452736318	Random Forests
BI.2536_IC_50.1	Resistant	0.416666667	0.967592593	0.938596491	0.416666667	0.967592593	0.032407407	Random Forests
BI.2536_IC_50.1	Sensitive	0.75	0.867924528	0.859649123	0.3	0.978723404	0.132075472	Random Forests
BIBW2992_IC_50.1	Resistant	0.545454545	0.751152074	0.74122807	0.1	0.970238095	0.248847926	Random Forests
BIBW2992_IC_50.1	Sensitive	0.705882353	0.855670103	0.833333333	0.461538462	0.943181818	0.144329897	Random Forests
Bicalutamide_IC_50.1	Resistant	0.84	0.793103448	0.798245614	0.333333333	0.975757576	0.206896552	Random Forests
Bicalutamide_IC_50.1	Sensitive	0.076923077	0.995049505	0.890350877	0.666666667	0.893333333	0.004950495	Random Forests
BIRB.0796_IC_50.1	Resistant	0.277777778	0.901041667	0.802631579	0.344827586	0.869346734	0.098958333	Random Forests
BIRB.0796_IC_50.1	Sensitive	0.46875	0.806122449	0.75877193	0.283018868	0.902857143	0.193877551	Random Forests
Bleomycin_IC_50.1	Resistant	0.5	0.806122449	0.763157895	0.296296296	0.908045977	0.193877551	Random Forests
Bleomycin_IC_50.1	Sensitive	0.666666667	0.691919192	0.688596491	0.24691358	0.931972789	0.308080808	Random Forests
BMS.509744_IC_50.1	Resistant	0.454545455	0.810679612	0.776315789	0.204081633	0.932960894	0.189320388	Random Forests
BMS.509744_IC_50.1	Sensitive	0.692307692	0.762790698	0.75877193	0.15	0.976190476	0.237209302	Random Forests
BMS.536924_IC_50.1	Resistant	0.80952381	0.719806763	0.728070175	0.226666667	0.973856209	0.280193237	Random Forests
BMS.536924_IC_50.1	Sensitive	0.318181818	0.932038835	0.872807018	0.333333333	0.927536232	0.067961165	Random Forests
BMS.708163_IC_50.1	Resistant	0.48	0.891625616	0.846491228	0.352941176	0.932989691	0.108374384	Random Forests
BMS.708163_IC_50.1	Sensitive	0.756756757	0.581151832	0.609649123	0.259259259	0.925	0.418848168	Random Forests
BMS.754807_IC_50.1	Resistant	0.294117647	0.953608247	0.855263158	0.526315789	0.885167464	0.046391753	Random Forests
BMS.754807_IC_50.1	Sensitive	0.708333333	0.803921569	0.793859649	0.298245614	0.959064327	0.196078431	Random Forests
Bortezomib_IC_50.1	Resistant	0.5625	0.764150943	0.75	0.152542373	0.958579882	0.235849057	Random Forests
Bortezomib_IC_50.1	Sensitive	0.7	0.735576923	0.73245614	0.202898551	0.962264151	0.264423077	Random Forests
Bosutinib_IC_50.1	Resistant	0.952380952	0.462365591	0.552631579	0.285714286	0.977272727	0.537634409	Random Forests
Bosutinib_IC_50.1	Sensitive	0.564102564	0.878306878	0.824561404	0.488888889	0.907103825	0.121693122	Random Forests
Bryostatin.1_IC_50.1	Resistant	0.636363636	0.703883495	0.697368421	0.186666667	0.947712418	0.296116505	Random Forests
Bryostatin.1_IC_50.1	Sensitive	0.823529412	0.360824742	0.429824561	0.184210526	0.921052632	0.639175258	Random Forests
BX.795_IC_50.1	Resistant	0.363636364	0.917948718	0.837719298	0.428571429	0.895	0.082051282	Random Forests
BX.795_IC_50.1	Sensitive	0.777777778	0.661458333	0.679824561	0.301075269	0.940740741	0.338541667	Random Forests
Camptothecin_IC_50.1	Resistant	0.432432432	0.931937173	0.850877193	0.551724138	0.894472362	0.068062827	Random Forests
Camptothecin_IC_50.1	Sensitive	0.807692308	0.683168317	0.697368421	0.247058824	0.965034965	0.316831683	Random Forests
CCT007093_IC_50.1	Resistant	0.631578947	0.765550239	0.754385965	0.196721311	0.958083832	0.234449761	Random Forests
CCT007093_IC_50.1	Sensitive	0.028571429	1	0.850877193	1	0.850220264	0	Random Forests
CCT018159_IC_50.1	Resistant	0.289473684	0.952631579	0.842105263	0.55	0.870192308	0.047368421	Random Forests
CCT018159_IC_50.1	Sensitive	0.394736842	0.894736842	0.811403509	0.428571429	0.880829016	0.105263158	Random Forests
CEP.701_IC_50.1	Resistant	0.620689655	0.733668342	0.719298246	0.253521127	0.929936306	0.266331658	Random Forests
CEP.701_IC_50.1	Sensitive	0.451612903	0.949238579	0.881578947	0.583333333	0.916666667	0.050761421	Random Forests
CGP.082996_IC_50.1	Resistant	0.827586207	0.728643216	0.74122807	0.307692308	0.966666667	0.271356784	Random Forests
CGP.082996_IC_50.1	Sensitive	0.708333333	0.799019608	0.789473684	0.293103448	0.958823529	0.200980392	Random Forests
CGP.60474_IC_50.1	Resistant	0.384615385	0.925742574	0.864035088	0.4	0.921182266	0.074257426	Random Forests
CGP.60474_IC_50.1	Sensitive	0.181818182	0.995391705	0.956140351	0.666666667	0.96	0.004608295	Random Forests
CHIR.99021_IC_50.1	Resistant	1	0.476190476	0.51754386	0.140625	1	0.523809524	Random Forests
CHIR.99021_IC_50.1	Sensitive	0.673913043	0.708791209	0.701754386	0.369047619	0.895833333	0.291208791	Random Forests
CI.1040_IC_50.1	Resistant	0.55	0.835106383	0.785087719	0.41509434	0.897142857	0.164893617	Random Forests
CI.1040_IC_50.1	Sensitive	0.653846154	0.920792079	0.890350877	0.515151515	0.953846154	0.079207921	Random Forests
Cisplatin_IC_50.1	Resistant	0.731707317	0.743315508	0.74122807	0.384615385	0.926666667	0.256684492	Random Forests
Cisplatin_IC_50.1	Sensitive	0.696969697	0.682051282	0.684210526	0.270588235	0.93006993	0.317948718	Random Forests
CMK_IC_50.1	Resistant	0.72	0.783251232	0.776315789	0.290322581	0.957831325	0.216748768	Random Forests
CMK_IC_50.1	Sensitive	0.545454545	0.791262136	0.76754386	0.218181818	0.942196532	0.208737864	Random Forests
Cyclopamine_IC_50.1	Resistant	0.260869565	0.951219512	0.881578947	0.375	0.919811321	0.048780488	Random Forests
Cyclopamine_IC_50.1	Sensitive	0.315789474	0.966507177	0.912280702	0.461538462	0.939534884	0.033492823	Random Forests
Cytarabine_IC_50.1	Resistant	0.425	0.909574468	0.824561404	0.5	0.881443299	0.090425532	Random Forests
Cytarabine_IC_50.1	Sensitive	0.696969697	0.753846154	0.745614035	0.323943662	0.936305732	0.246153846	Random Forests
Dasatinib_IC_50.1	Resistant	0.25	0.982142857	0.969298246	0.2	0.986547085	0.017857143	Random Forests
Dasatinib_IC_50.1	Sensitive	0.466666667	0.840375587	0.815789474	0.170731707	0.957219251	0.159624413	Random Forests
DMOG_IC_50.1	Resistant	0.172413793	0.994974874	0.890350877	0.833333333	0.891891892	0.005025126	Random Forests
DMOG_IC_50.1	Sensitive	0.705882353	0.762886598	0.754385965	0.342857143	0.936708861	0.237113402	Random Forests
Docetaxel_IC_50.1	Resistant	0.727272727	0.774358974	0.76754386	0.352941176	0.94375	0.225641026	Random Forests
Docetaxel_IC_50.1	Sensitive	0.291666667	0.970588235	0.899122807	0.538461538	0.920930233	0.029411765	Random Forests
Doxorubicin_IC_50.1	Resistant	0.461538462	0.866336634	0.820175439	0.307692308	0.925925926	0.133663366	Random Forests
Doxorubicin_IC_50.1	Sensitive	0.235294118	0.989690722	0.877192982	0.8	0.880733945	0.010309278	Random Forests
EHT.1864_IC_50.1	Resistant	0.702702703	0.617801047	0.631578947	0.262626263	0.914728682	0.382198953	Random Forests
EHT.1864_IC_50.1	Sensitive	0.225	0.962765957	0.833333333	0.5625	0.853773585	0.037234043	Random Forests
Elesclomol_IC_50.1	Resistant	0.463414634	0.919786096	0.837719298	0.558823529	0.886597938	0.080213904	Random Forests
Elesclomol_IC_50.1	Sensitive	0.210526316	0.937799043	0.877192982	0.235294118	0.928909953	0.062200957	Random Forests
Embelin_IC_50.1	Resistant	0.107142857	0.995	0.885964912	0.75	0.888392857	0.005	Random Forests
Embelin_IC_50.1	Sensitive	0.05	1	0.916666667	1	0.916299559	0	Random Forests
Epothilone.B_IC_50.1	Resistant	0.375	0.950980392	0.890350877	0.473684211	0.928229665	0.049019608	Random Forests
Epothilone.B_IC_50.1	Sensitive	0.592592593	0.7960199	0.771929825	0.280701754	0.935672515	0.2039801	Random Forests
Erlotinib_IC_50.1	Resistant	0.333333333	0.96803653	0.942982456	0.3	0.972477064	0.03196347	Random Forests
Erlotinib_IC_50.1	Sensitive	0.714285714	0.61352657	0.622807018	0.157894737	0.954887218	0.38647343	Random Forests
Etoposide_IC_50.1	Resistant	0.576923077	0.831683168	0.802631579	0.306122449	0.938547486	0.168316832	Random Forests
Etoposide_IC_50.1	Sensitive	0.096774194	1	0.877192982	1	0.875555556	0	Random Forests
FH535_IC_50.1	Resistant	0.310344828	0.989949749	0.903508772	0.818181818	0.907834101	0.010050251	Random Forests
FH535_IC_50.1	Sensitive	0.047619048	1	0.912280702	1	0.911894273	0	Random Forests
FTI.277_IC_50.1	Resistant	0.857142857	0.683937824	0.710526316	0.32967033	0.96350365	0.316062176	Random Forests
FTI.277_IC_50.1	Sensitive	0.272727273	0.98974359	0.885964912	0.818181818	0.889400922	0.01025641	Random Forests
GDC.0449_IC_50.1	Resistant	0.066666667	1	0.877192982	1	0.876106195	0	Random Forests
GDC.0449_IC_50.1	Sensitive	0.459459459	0.858638743	0.793859649	0.386363636	0.891304348	0.141361257	Random Forests
GDC0941_IC_50.1	Resistant	0.243243243	0.984293194	0.864035088	0.75	0.87037037	0.015706806	Random Forests
GDC0941_IC_50.1	Sensitive	0.842105263	0.636842105	0.671052632	0.316831683	0.952755906	0.363157895	Random Forests
Gefitinib_IC_50.1	Resistant	0.3	0.919191919	0.837719298	0.36	0.896551724	0.080808081	Random Forests
Gefitinib_IC_50.1	Sensitive	0.75	0.828125	0.815789474	0.45	0.946428571	0.171875	Random Forests
Gemcitabine_IC_50.1	Resistant	0.384615385	0.894179894	0.807017544	0.428571429	0.875647668	0.105820106	Random Forests
Gemcitabine_IC_50.1	Sensitive	0.736842105	0.689473684	0.697368421	0.32183908	0.929078014	0.310526316	Random Forests
GNF.2_IC_50.1	Resistant	0.75	0.680555556	0.684210526	0.115384615	0.98	0.319444444	Random Forests
GNF.2_IC_50.1	Sensitive	0.5	0.845794393	0.824561404	0.175	0.962765957	0.154205607	Random Forests
GSK.1904529A_IC_50.1	Resistant	0.866666667	0.722222222	0.74122807	0.320987654	0.972789116	0.277777778	Random Forests
GSK.1904529A_IC_50.1	Sensitive	0.780487805	0.422459893	0.486842105	0.228571429	0.897727273	0.577540107	Random Forests
GSK.650394_IC_50.1	Resistant	0.333333333	0.93442623	0.815789474	0.555555556	0.850746269	0.06557377	Random Forests
GSK.650394_IC_50.1	Sensitive	0.666666667	0.698924731	0.692982456	0.333333333	0.902777778	0.301075269	Random Forests
GSK269962A_IC_50.1	Resistant	0.578947368	0.837320574	0.815789474	0.244444444	0.956284153	0.162679426	Random Forests
GSK269962A_IC_50.1	Sensitive	0.181818182	0.995391705	0.956140351	0.666666667	0.96	0.004608295	Random Forests
GW.441756_IC_50.1	Resistant	0.117647059	0.971563981	0.907894737	0.25	0.931818182	0.028436019	Random Forests
GW.441756_IC_50.1	Sensitive	0.230769231	0.931216931	0.811403509	0.409090909	0.854368932	0.068783069	Random Forests
GW843682X_IC_50.1	Resistant	0.111111111	0.995238095	0.925438596	0.666666667	0.928888889	0.004761905	Random Forests
GW843682X_IC_50.1	Sensitive	0.181818182	0.995391705	0.956140351	0.666666667	0.96	0.004608295	Random Forests
Imatinib_IC_50.1	Resistant	0	0.995555556	0.98245614	0	0.986784141	0.004444444	Random Forests
Imatinib_IC_50.1	Sensitive	0.307692308	0.981395349	0.942982456	0.5	0.959090909	0.018604651	Random Forests
IPA.3_IC_50.1	Resistant	0.810810811	0.554973822	0.596491228	0.260869565	0.938053097	0.445026178	Random Forests
IPA.3_IC_50.1	Sensitive	0.791666667	0.627777778	0.662280702	0.361904762	0.918699187	0.372222222	Random Forests
JNJ.26854165_IC_50.1	Resistant	0.764705882	0.628865979	0.649122807	0.265306122	0.938461538	0.371134021	Random Forests
JNJ.26854165_IC_50.1	Sensitive	0.653846154	0.831683168	0.811403509	0.333333333	0.949152542	0.168316832	Random Forests
JNK.9L_IC_50.1	Resistant	0.291666667	0.941176471	0.872807018	0.368421053	0.918660287	0.058823529	Random Forests
JNK.9L_IC_50.1	Sensitive	0.375	0.950980392	0.890350877	0.473684211	0.928229665	0.049019608	Random Forests
JNK.Inhibitor.VIII_IC_50.1	Resistant	0.846153846	0.589108911	0.618421053	0.20952381	0.967479675	0.410891089	Random Forests
JNK.Inhibitor.VIII_IC_50.1	Sensitive	0.060606061	1	0.864035088	1	0.862831858	0	Random Forests
JW.7.52.1_IC_50.1	Resistant	0.5	0.854368932	0.820175439	0.268292683	0.941176471	0.145631068	Random Forests
JW.7.52.1_IC_50.1	Sensitive	0.058823529	1	0.929824561	1	0.929515419	0	Random Forests
KIN001.135_IC_50.1	Resistant	0.857142857	0.710280374	0.719298246	0.162162162	0.987012987	0.289719626	Random Forests
KIN001.135_IC_50.1	Sensitive	0.647058824	0.71563981	0.710526316	0.154929577	0.961783439	0.28436019	Random Forests
KU.55933_IC_50.1	Resistant	0.243243243	0.942408377	0.828947368	0.45	0.865384615	0.057591623	Random Forests
KU.55933_IC_50.1	Sensitive	0.285714286	0.870967742	0.763157895	0.333333333	0.84375	0.129032258	Random Forests
Lapatinib_IC_50.1	Resistant	0.818181818	0.843317972	0.842105263	0.209302326	0.989189189	0.156682028	Random Forests
Lapatinib_IC_50.1	Sensitive	0.705882353	0.796208531	0.789473684	0.218181818	0.971098266	0.203791469	Random Forests
LAQ824_IC_50.1	Resistant	0.608695652	0.756097561	0.74122807	0.21875	0.945121951	0.243902439	Random Forests
LAQ824_IC_50.1	Sensitive	0.4	0.901477833	0.846491228	0.333333333	0.924242424	0.098522167	Random Forests
Lenalidomide_IC_50.1	Resistant	0.05	0.995192308	0.912280702	0.5	0.915929204	0.004807692	Random Forests
Lenalidomide_IC_50.1	Sensitive	0.65625	0.724489796	0.714912281	0.28	0.928104575	0.275510204	Random Forests
LFM.A13_IC_50.1	Resistant	0.695652174	0.67804878	0.679824561	0.195121951	0.952054795	0.32195122	Random Forests
LFM.A13_IC_50.1	Sensitive	0.352941176	0.840206186	0.76754386	0.279069767	0.881081081	0.159793814	Random Forests
Methotrexate_IC_50.1	Resistant	0.806451613	0.680203046	0.697368421	0.284090909	0.957142857	0.319796954	Random Forests
Methotrexate_IC_50.1	Sensitive	0.631578947	0.931578947	0.881578947	0.648648649	0.926701571	0.068421053	Random Forests
MG.132_IC_50.1	Resistant	0.705882353	0.82464455	0.815789474	0.244897959	0.972067039	0.17535545	Random Forests
MG.132_IC_50.1	Sensitive	0.733333333	0.772727273	0.76754386	0.328358209	0.950310559	0.227272727	Random Forests
Midostaurin_IC_50.1	Resistant	0.404761905	0.924731183	0.828947368	0.548387097	0.873096447	0.075268817	Random Forests
Midostaurin_IC_50.1	Sensitive	0.444444444	0.912568306	0.820175439	0.555555556	0.869791667	0.087431694	Random Forests
Mitomycin.C_IC_50.1	Resistant	0.047619048	0.995169082	0.907894737	0.5	0.911504425	0.004830918	Random Forests
Mitomycin.C_IC_50.1	Sensitive	0.458333333	0.911764706	0.864035088	0.379310345	0.934673367	0.088235294	Random Forests
MK.2206_IC_50.1	Resistant	0.093023256	0.989189189	0.820175439	0.666666667	0.824324324	0.010810811	Random Forests
MK.2206_IC_50.1	Sensitive	0.277777778	0.96875	0.859649123	0.625	0.877358491	0.03125	Random Forests
MS.275_IC_50.1	Resistant	0.866666667	0.507042254	0.530701754	0.110169492	0.981818182	0.492957746	Random Forests
MS.275_IC_50.1	Sensitive	0.5	0.962962963	0.938596491	0.428571429	0.971962617	0.037037037	Random Forests
Nilotinib_IC_50.1	Sensitive	0.166666667	0.985294118	0.899122807	0.571428571	0.909502262	0.014705882	Random Forests
NSC.87877_IC_50.1	Resistant	0.727272727	0.562211982	0.570175439	0.077669903	0.976	0.437788018	Random Forests
NSC.87877_IC_50.1	Sensitive	0.043478261	0.995121951	0.899122807	0.5	0.902654867	0.004878049	Random Forests
NU.7441_IC_50.1	Resistant	0.375	0.93877551	0.859649123	0.5	0.901960784	0.06122449	Random Forests
NU.7441_IC_50.1	Sensitive	0.115384615	0.982954545	0.785087719	0.666666667	0.789954338	0.017045455	Random Forests
Nutlin.3a_IC_50.1	Resistant	0.875	0.489795918	0.543859649	0.21875	0.96	0.510204082	Random Forests
Nutlin.3a_IC_50.1	Sensitive	0.863636364	0.869565217	0.868421053	0.612903226	0.963855422	0.130434783	Random Forests
NVP.BEZ235_IC_50.1	Resistant	0.642857143	0.85	0.824561404	0.375	0.944444444	0.15	Random Forests
NVP.BEZ235_IC_50.1	Sensitive	0.62962963	0.606965174	0.609649123	0.177083333	0.924242424	0.393034826	Random Forests
